data,model,epoch,TP,FN,FP,TN,Uncertainty,Accuracy,MCC,Specificity,Precision,Sensitivity,F1,ale_uncertainty,epi_uncertainty
vega_test,Vega,1,494.0,157.0,173.0,330.0,0.09543686360120773,0.7140381282495667,0.4165685985845724,0.6560636182902585,0.7406296851574213,0.7588325652841782,0.7496206373292867,0.06715206801891327,0.028284799307584763
wrongly_classified,1,71.0,31.0,73.0,26.0,0.13654173910617828,0.48258706467661694,-0.04580360891865022,0.26262626262626265,0.4930555555555556,0.696078431372549,0.5772357723577236,0.09261180460453033,0.04392993077635765
