Dataset,Model,training accuracy,validation accuracy,Number_of_iteration_of_prediction,Atom_size,Dropout,num_training_epoch,num_test_epoch,TP,FN,FP,TN,Accuracy,MCC,Specificity,Precision,Sensitivity,F1,ale_uncertainty,epi_uncertainty
Wrongly classified,first,0.9807975589225589,0.84375,5,200,NONE,100,1,29.0,73.0,5.0,94.0,0.03282219544053078,0.6119402985074627,0.9494949494949495,0.8529411764705882,0.28431372549019607,0.4264705882352941,0.03282219544053078,1.7809781427402527e-10
Ames test,first,0.9807975589225589,0.84375,5,503,NONE,100,1,1428.0,197.0,441.0,2734.0,0.028699124231934547,0.8670833333333333,0.8611023622047244,0.7640449438202247,0.8787692307692307,0.81740125930166,0.028699124231934547,2.509752405899235e-10
Wrongly classified,first with single batch,0.9807975589225589,0.1,78.0,24.0,1.0,98.0,0.8756218905472637,0.7724027781724666,0.98989898989899,0.9873417721518988,0.7647058823529411,0.861878453038674,0.04817615821957588,0.0
randomized_wrongly_classified,Second,0.9423400673400674,0.8177083333333334,5,200,0.2,90,1,9.0,93.0,5.0,94.0,0.5124378109452736,0.07410072743307762,0.9494949494949495,0.6428571428571429,0.08823529411764706,0.15517241379310345,0.06901276111602783,0.017990756779909134
Original_test,Second,0.9423400673400674,0.8177083333333334,5,503,0.2,90,1,1384.0,241.0,588.0,2587.0,0.8272916666666666,0.6410657628418482,0.8148031496062992,0.7018255578093306,0.8516923076923076,0.7695301640255768,0.05306759476661682,-1.0424751062387827e-09
