class,epoch,TP,FN,FP,TN,Accuracy,MCC,Specificity,Precision,Sensitivity,F1
Benzenoids,1,5.0,1.0,1.0,4.0,0.8181818181818182,0.6333333333333333,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334
Hydron carbonsepoch,1,0.0,0.0,6.0,9.0,0.6,nan,0.6,0.0,nan,0.0
Lignans, neolignans and related compounds,1,2.0,1.0,4.0,3.0,0.5,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.4444444444444444
Alkaloids and derivatives,1,566.0,299.0,640.0,1333.0,0.6691331923890064,0.30725154986139763,0.6756208819057273,0.4693200663349917,0.6543352601156069,0.5465958474167069
All but Benzenoids,1,566.0,299.0,640.0,1333.0,0.6691331923890064,0.30725154986139763,0.6756208819057273,0.4693200663349917,0.6543352601156069,0.5465958474167069
Benzenoids from japan data,1,340.0,99.0,218.0,741.0,0.7732474964234621,0.5185671395937667,0.7726798748696558,0.6093189964157706,0.7744874715261959,0.6820461384152458


