Data,epoch,TP,FN,FP,TN,Accuracy,MCC,Specificity,Precision,Sensitivity,F1
All but organoheterocyclic in japan,1,449.0,270.0,590.0,1371.0,0.6791044776119403,0.29428300001374064,0.6991330953595104,0.43214629451395575,0.6244784422809457,0.5108077360637088
Organohetrocyclic in japan,1,199.0,96.0,164.0,469.0,0.7198275862068966,0.3964592547100303,0.740916271721959,0.5482093663911846,0.6745762711864407,0.6048632218844985
