type,1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100
ale,0.011601178055920182, 0.011857073009169406, 0.012124497487257265, 0.011601178055920182, 0.012697194860699876, 0.010895673568393193, 0.012697194860699876, 0.03545815280749636, 0.03246 281283507737, 0.01332659489368696, 0.034658673606716366, 0.012124497487257265, 0.012697194860699876, 0.012124497487257265, 0.033894445683267105, 0.013004294090513138, 0.03465867360671636,  0.012124497487257265, 0.013665253024811502, 0.011857073009169406, 0.03465867360671636, 0.033894445683267105, 0.012124497487257265, 0.013004294090513138, 0.03246281283507737, 0.0338944456 83267105, 0.03545815280749636, 0.012697194860699876, 0.03316318818161685, 0.012124497487257267, 0.011857073009169406, 0.011356083477067925, 0.012697194860699876, 0.03465867360671636, 0.01 2404247711843189, 0.012124497487257265, 0.01332659489368696, 0.012697194860699876, 0.03316318818161685, 0.012404247711843189, 0.012124497487257265, 0.012124497487257265, 0.011121120282541 98, 0.012124497487257265, 0.03465867360671636, 0.011857073009169406, 0.03246281283507737, 0.034658673606716366, 0.03316318818161685, 0.012404247711843189, 0.034658673606716366, 0.03246281 283507737, 0.03545815280749636, 0.012124497487257267, 0.03465867360671636, 0.012124497487257265, 0.013326594893686957, 0.011857073009169411, 0.011601178055920182, 0.012124497487257265, 0. 03465867360671636, 0.012404247711843189, 0.03316318818161685, 0.011601178055920182, 0.030528584495322416, 0.011356083477067925, 0.012124497487257265, 0.012124497487257265, 0.0124042477118 43189, 0.012124497487257265, 0.011601178055920182, 0.033894445683267105, 0.033894445683267105, 0.012124497487257265, 0.012124497487257265, 0.03465867360671636, 0.012404247711843189, 0.035 45815280749636, 0.012697194860699874, 0.012404247711843189, 0.03246281283507737, 0.013004294090513138, 0.013004294090513133, 0.012697194860699876, 0.03316318818161685, 0.01135608347706792 5, 0.01160117805592018, 0.0136652530248115, 0.03246281283507737, 0.01332659489368696, 0.012404247711843189, 0.012124497487257265, 0.013004294090513138, 0.01112112028254198, 0.032462812835 07737, 0.012404247711843189, 0.012697194860699876, 0.012124497487257265, 0.01332659489368696, 0.01112112028254198
epi,0.00010577967498654806, 0.00010856195729236931, 0.00011107749479459816, 0.00010577967498654806, 0.00011512471259018618, 9.619550134211097e-05, 0.00011512471259018618, 0.0001151247125 9018618, 0.00010577967498654806, 0.00011748262151243739, 0.00011328200594478372, 0.00011107749479459815, 0.00011512471259018616, 0.00011107749479459815, 0.00011107749479459815, 0.00011654 728965526712, 0.00011328200594478365, 0.00011107749479459815, 0.00011785332444686645, 0.00010856195729236932, 0.00011328200594478365, 0.00011107749479459815, 0.00011107749479459815, 0.000 11654728965526712, 0.00010577967498654806, 0.00011107749479459815, 0.00011512471259018616, 0.00011512471259018616, 0.00010856195729236932, 0.00011107749479459815, 0.00010856195729236932, 0.00010276932275672946, 0.00011512471259018618, 0.00011328200594478365, 0.00011328200594478365, 0.00011107749479459815, 0.00011748262151243739, 0.00011512471259018618, 0.00010856195729236 931, 0.00011328200594478365, 0.00011107749479459815, 0.00011107749479459815, 9.9564725190185e-05, 0.00011107749479459815, 0.00011328200594478366, 0.00010856195729236931, 0.000105779674986 54806, 0.0001132820059447837, 0.00010856195729236932, 0.00011328200594478365, 0.00011328200594478365, 0.00010577967498654806, 0.00011512471259018618, 0.00011107749479459815, 0.00011328200 594478366, 0.00011107749479459815, 0.00011748262151243739, 0.00010856195729236938, 0.00010577967498654806, 0.00011107749479459815, 0.00011328200594478365, 0.00011328200594478366, 0.000108 56195729236932, 0.00010577967498654806, 9.619550134211097e-05, 0.00010276932275672946, 0.00011107749479459815, 0.00011107749479459815, 0.00011328200594478365, 0.00011107749479459815, 0.00 010577967498654806, 0.00011107749479459815, 0.00011107749479459815, 0.00011107749479459815, 0.00011107749479459815, 0.00011328200594478365, 0.00011328200594478365, 0.00011512471259018618,  0.00011512471259018616, 0.00011328200594478365, 0.00010577967498654805, 0.00011654728965526712, 0.00011654728965526712, 0.00011512471259018616, 0.00010856195729236931, 0.0001027693227567 2946, 0.00010577967498654808, 0.00011785332444686645, 0.00010577967498654806, 0.00011748262151243737, 0.00011328200594478366, 0.00011107749479459815, 0.00011654728965526712, 9.95647251901 85e-05, 0.00010577967498654808, 0.00011328200594478366, 0.00011512471259018616, 0.00011107749479459815, 0.00011748262151243739, 9.9564725190185e-05
tot_uncertainty,0.01170695773090673, 0.011965634966461774, 0.012235574982051864, 0.01170695773090673, 0.012812319573290062, 0.010991869069735304, 0.012812319573290062, 0.03557327752008655, 0.03256859251 0063915, 0.013444077515199397, 0.03477195561266115, 0.012235574982051864, 0.012812319573290062, 0.012235574982051864, 0.0340055231780617, 0.013120841380168405, 0.034771955612661144, 0.012 235574982051864, 0.013783106349258369, 0.011965634966461774, 0.034771955612661144, 0.0340055231780617, 0.012235574982051864, 0.013120841380168405, 0.032568592510063915, 0.0340055231780617 , 0.03557327752008655, 0.012812319573290062, 0.03327175013890922, 0.012235574982051866, 0.011965634966461774, 0.011458852799824655, 0.012812319573290062, 0.034771955612661144, 0.012517529 717787973, 0.012235574982051864, 0.013444077515199397, 0.012812319573290062, 0.03327175013890922, 0.012517529717787973, 0.012235574982051864, 0.012235574982051864, 0.011220685007732165, 0 .012235574982051864, 0.034771955612661144, 0.011965634966461774, 0.032568592510063915, 0.03477195561266115, 0.03327175013890922, 0.012517529717787973, 0.03477195561266115, 0.0325685925100 63915, 0.03557327752008655, 0.012235574982051866, 0.034771955612661144, 0.012235574982051864, 0.013444077515199394, 0.01196563496646178, 0.01170695773090673, 0.012235574982051864, 0.03477 1955612661144, 0.012517529717787973, 0.03327175013890922, 0.01170695773090673, 0.030624779996664526, 0.011458852799824655, 0.012235574982051864, 0.012235574982051864, 0.012517529717787973 , 0.012235574982051864, 0.01170695773090673, 0.0340055231780617, 0.0340055231780617, 0.012235574982051864, 0.012235574982051864, 0.034771955612661144, 0.012517529717787973, 0.035573277520 08655, 0.01281231957329006, 0.012517529717787973, 0.032568592510063915, 0.013120841380168405, 0.0131208413801684, 0.012812319573290062, 0.03327175013890922, 0.011458852799824655, 0.011706 957730906728, 0.013783106349258367, 0.032568592510063915, 0.013444077515199397, 0.012517529717787973, 0.012235574982051864, 0.013120841380168405, 0.011220685007732165, 0.03256859251006391 5, 0.012517529717787973, 0.012812319573290062, 0.012235574982051864, 0.013444077515199397, 0.011220685007732165
