epoch,TP,FN,FP,TN,Uncertainty,Accuracy,MCC,Specificity,Precision,Sensitivity,F1,ale_uncertainty,epi_uncertainty
1,14.0,88.0,56.0,43.0,0.24222288942976147,0.2835820895522388,-0.44955637858867664,0.43434343434343436,0.2,0.13725490196078433,0.16279069767441862,0.23808837051146234,0.004134518918299135
2,12.0,90.0,48.0,51.0,0.2425225409738094,0.31343283582089554,-0.4011777707539491,0.5151515151515151,0.2,0.11764705882352941,0.14814814814814814,0.23845525300867962,0.004067287965129784
3,10.0,92.0,50.0,49.0,0.24279307937573988,0.2935323383084577,-0.4446711536674032,0.494949494949495,0.16666666666666666,0.09803921568627451,0.12345679012345678,0.238661320792769,0.004131758582970879
4,15.0,87.0,43.0,56.0,0.24300624229328302,0.35323383084577115,-0.31699180157105034,0.5656565656565656,0.25862068965517243,0.14705882352941177,0.1875,0.23940646308808158,0.0035997792052014366
5,17.0,85.0,42.0,57.0,0.24283138348934946,0.3681592039800995,-0.2827824748460139,0.5757575757575758,0.288135593220339,0.16666666666666666,0.2111801242236025,0.2391169298156126,0.0037144536737368505
6,17.0,85.0,47.0,52.0,0.24284657271240728,0.34328358208955223,-0.33062223498274523,0.5252525252525253,0.265625,0.16666666666666666,0.20481927710843373,0.23870188211824844,0.00414469059415884
