epoch,TP,FN,FP,TN,Uncertainty,Accuracy,MCC,Specificity,Precision,Sensitivity,F1,ale_uncertainty,epi_uncertainty
1,469.0,182.0,218.0,285.0,0.2319727223443607,0.6533795493934142,0.28997845612893797,0.5666003976143141,0.6826783114992722,0.7204301075268817,0.7010463378176383,0.2294051921088325,0.0025675302355281926
2,486.0,165.0,205.0,298.0,0.23210229755157463,0.6793760831889082,0.3429499234919704,0.5924453280318092,0.703328509406657,0.7465437788018433,0.7242921013412816,0.22808208386068451,0.004020213690890118
3,482.0,169.0,188.0,315.0,0.23240631017031604,0.6906412478336221,0.36843131430870457,0.6262425447316103,0.7194029850746269,0.7403993855606759,0.7297501892505678,0.22805269581863863,0.004353614351677415
4,487.0,164.0,174.0,329.0,0.23202280344136203,0.707105719237435,0.4031291731726122,0.6540755467196819,0.7367624810892587,0.7480798771121352,0.7423780487804879,0.22764523644793153,0.004377566993430504
5,489.0,162.0,197.0,306.0,0.23163037152899968,0.6889081455805892,0.36307034862505144,0.6083499005964215,0.7128279883381924,0.7511520737327189,0.7314884068810771,0.22705532095475428,0.004575050574245398
6,499.0,152.0,202.0,301.0,0.23166459750320018,0.6932409012131716,0.37056733719723267,0.5984095427435387,0.7118402282453637,0.7665130568356375,0.7381656804733728,0.22711429009868872,0.0045503074045114555
