epoch,TP,FN,FP,TN,Uncertainty,Accuracy,MCC,Specificity,Precision,Sensitivity,F1,ale_uncertainty,epi_uncertainty
1,820.0,805.0,786.0,2389.0,0.24226936951116831,0.6685416666666667,0.25780220231778467,0.7524409448818897,0.5105853051058531,0.5046153846153846,0.5075827917053544,0.23638040753910758,0.005888961972060736
2,926.0,699.0,826.0,2349.0,0.24167643682585674,0.6822916666666666,0.3044032865721651,0.7398425196850393,0.5285388127853882,0.5698461538461539,0.54841575362748,0.23500206596032466,0.0066743708655320755
3,861.0,764.0,734.0,2441.0,0.2426084735797391,0.6879166666666666,0.3000465193313556,0.7688188976377953,0.5398119122257053,0.5298461538461539,0.5347826086956522,0.23638028333886316,0.006228190240875953
4,975.0,650.0,830.0,2345.0,0.24132459896921826,0.6916666666666667,0.3307701160359058,0.7385826771653543,0.5401662049861495,0.6,0.5685131195335277,0.23454912291289237,0.006775476056325891
5,965.0,660.0,765.0,2410.0,0.2417201348943799,0.703125,0.3478239893098475,0.7590551181102362,0.5578034682080925,0.5938461538461538,0.5752608047690015,0.2352215972923655,0.006498537602014409
6,1043.0,582.0,874.0,2301.0,0.24061973801552614,0.6966666666666667,0.35417895867058563,0.7247244094488189,0.5440792905581638,0.6418461538461538,0.5889328063241107,0.2334280987648545,0.007191639250671622
