epoch,TP,FN,FP,TN,Loss,Accuracy,MCC,Specificity,Precision,Recall,F1
1,1.0,101.0,55.0,44.0,1.5107525169849396,0.22388059701492538,-0.6086038750386528,0.4444444444444444,0.017857142857142856,0.00980392156862745,0.012658227848101266
2,0.0,102.0,57.0,42.0,1.691640575726827,0.208955223880597,-0.6386143459305333,0.42424242424242425,0.0,0.0,0.0
3,3.0,99.0,37.0,62.0,1.4999939541021983,0.32338308457711445,-0.4311655701135228,0.6262626262626263,0.075,0.029411764705882353,0.04225352112676056
4,1.0,101.0,56.0,43.0,1.6857440292835235,0.21890547263681592,-0.6165363473870112,0.43434343434343436,0.017543859649122806,0.00980392156862745,0.012578616352201259
5,3.0,99.0,59.0,40.0,1.7789650479952495,0.21393034825870647,-0.6132690106244241,0.40404040404040403,0.04838709677419355,0.029411764705882353,0.036585365853658534
6,4.0,98.0,49.0,50.0,1.6014147460460664,0.26865671641791045,-0.5170828557342861,0.5050505050505051,0.07547169811320754,0.0392156862745098,0.05161290322580645
7,5.0,97.0,54.0,45.0,1.838091504573822,0.24875621890547264,-0.5450167421772655,0.45454545454545453,0.0847457627118644,0.049019607843137254,0.062111801242236024
8,8.0,94.0,47.0,52.0,1.705232435464859,0.29850746268656714,-0.4444282208206354,0.5252525252525253,0.14545454545454545,0.0784313725490196,0.10191082802547771
9,9.0,93.0,41.0,58.0,1.6372567276159922,0.3333333333333333,-0.3769091869821588,0.5858585858585859,0.18,0.08823529411764706,0.11842105263157894
10,5.0,97.0,44.0,55.0,1.9080267568429312,0.29850746268656714,-0.4604280705273817,0.5555555555555556,0.10204081632653061,0.049019607843137254,0.06622516556291391
11,10.0,92.0,37.0,62.0,1.7172305266062418,0.3582089552238806,-0.3256433834039544,0.6262626262626263,0.2127659574468085,0.09803921568627451,0.1342281879194631
12,9.0,93.0,43.0,56.0,1.9424633463223775,0.32338308457711445,-0.39512516561327726,0.5656565656565656,0.17307692307692307,0.08823529411764706,0.11688311688311688
13,11.0,91.0,43.0,56.0,1.8941859046618144,0.3333333333333333,-0.36825251085865335,0.5656565656565656,0.2037037037037037,0.10784313725490197,0.14102564102564102
14,22.0,80.0,28.0,71.0,1.3818715244531632,0.4626865671641791,-0.07764947698994339,0.7171717171717171,0.44,0.21568627450980393,0.2894736842105263
15,20.0,82.0,33.0,66.0,1.83142551779747,0.42786069651741293,-0.15573160322636256,0.6666666666666666,0.37735849056603776,0.19607843137254902,0.25806451612903225
16,19.0,83.0,33.0,66.0,1.8848231852054596,0.4228855721393035,-0.16788579998160708,0.6666666666666666,0.36538461538461536,0.18627450980392157,0.24675324675324675
17,25.0,77.0,34.0,65.0,1.7701465557018916,0.44776119402985076,-0.1079596299585128,0.6565656565656566,0.423728813559322,0.24509803921568626,0.3105590062111801
18,18.0,84.0,34.0,65.0,1.9346502065658568,0.4129353233830846,-0.1906097365447741,0.6565656565656566,0.34615384615384615,0.17647058823529413,0.23376623376623376
19,21.0,81.0,29.0,70.0,1.9299593190352122,0.4527363184079602,-0.10066945468165227,0.7070707070707071,0.42,0.20588235294117646,0.27631578947368424
20,36.0,66.0,24.0,75.0,1.8569660514593125,0.5522388059701493,0.12074282420749925,0.7575757575757576,0.6,0.35294117647058826,0.4444444444444444
