Model,Test_Data,epoch,TP,FN,FP,TN,Uncertainty,Accuracy,MCC,Specificity,Precision,Sensitivity,F1,ale_uncertainty,epi_uncertainty
First,WronglyClassified,1,24.0,78.0,7.0,92.0,0.23926596131985953,0.5771144278606966,0.22782848837789782,0.9292929292929293,0.7741935483870968,0.23529411764705882,0.3609022556390977,0.22509034469841394,0.014175616621445597
First,original_test,1,1425.0,200.0,449.0,2726.0,0.01984617205118092,0.8647916666666666,0.7134485637268019,0.8585826771653543,0.7604055496264674,0.8769230769230769,0.8145184338382395,0.019735937097657773,0.00011023495352314651
First,Japan,1,1254.0,19.0,390.0,8047.0,0.009956309109217062,0.9578784757981462,0.8449368801059679,0.9537750385208013,0.7627737226277372,0.9850746268656716,0.85978745286253,0.009930853477786784,2.5455631430279014e-05
Second,original_test,1,1331.0,294.0,550.0,2625.0,0.019177799430526495,0.8241666666666667,0.6260626699042202,0.8267716535433071,0.7076023391812866,0.819076923076923,0.7592698231602967,0.019066312358549865,0.00011148707197662956
Second,WronglyClassified,1,7.0,95.0,6.0,93.0,0.08346547931432724,0.4975124378109453,0.016304847264575515,0.9393939393939394,0.5384615384615384,0.06862745098039216,0.12173913043478261,0.061293475329875946,0.022172005847096443
Second,Japan,1,1220.0,53.0,701.0,7736.0,0.011030326707538896,0.9223480947476828,0.7415672265879399,0.9169135948796966,0.6350858927641854,0.9583660644147682,0.7639323731997495,0.011004468290304128,2.585841723476784e-05
