epoch,TP,FN,FP,TN,Uncertainty,Accuracy,MCC,Specificity,Precision,Sensitivity,F1,ale_uncertainty,epi_uncertainty
1,40.0,62.0,79.0,20.0,0.23183349265645214,0.29850746268656714,-0.41283248521863375,0.20202020202020202,0.33613445378151263,0.39215686274509803,0.36199095022624433,0.22944377498802604,0.0023897176684261057
2,36.0,66.0,80.0,19.0,0.23205149389686736,0.2736318407960199,-0.4605999424509941,0.1919191919191919,0.3103448275862069,0.35294117647058826,0.3302752293577982,0.22843340320820904,0.0036180906886583153
3,33.0,69.0,82.0,17.0,0.23233836136114744,0.24875621890547264,-0.5100336200969582,0.1717171717171717,0.28695652173913044,0.3235294117647059,0.30414746543778803,0.2281855305054865,0.004152830855660927
4,37.0,65.0,83.0,16.0,0.23151826735603812,0.263681592039801,-0.4847990621335803,0.16161616161616163,0.30833333333333335,0.3627450980392157,0.3333333333333333,0.2276899357757093,0.003828331580328803
5,38.0,64.0,79.0,20.0,0.2317362181606703,0.2885572139303483,-0.4312350135877525,0.20202020202020202,0.3247863247863248,0.37254901960784315,0.3470319634703196,0.22769433571154252,0.004041882449127787
6,40.0,62.0,81.0,18.0,0.23154842026146558,0.2885572139303483,-0.43512600985383443,0.18181818181818182,0.3305785123966942,0.39215686274509803,0.35874439461883406,0.22776586745174074,0.0037825528097248373
