epoch,TP,FN,FP,TN,Uncertainty,Accuracy,MCC,Specificity,Precision,Sensitivity,F1,ale_uncertainty,epi_uncertainty
1,1237.0,389.0,889.0,2285.0,0.24789916003321055,0.73375,0.4579861924283363,0.7199117832388153,0.5818438381937912,0.7607626076260763,0.6593816631130064,0.13239752251593653,0.11550163751727402
2,1224.0,402.0,681.0,2493.0,0.24437238046863252,0.774375,0.520649124459423,0.7854442344045368,0.6425196850393701,0.7527675276752768,0.6932880203908242,0.11741688541706767,0.12695549505156487
3,1193.0,433.0,626.0,2548.0,0.2431528387461408,0.779375,0.5233783726127431,0.8027725267800883,0.6558548653106102,0.7337023370233703,0.6925979680696662,0.11525596374532805,0.12789687500081276
4,1225.0,401.0,633.0,2541.0,0.2430196185198989,0.7845833333333333,0.5382571760065262,0.8005671077504726,0.6593110871905274,0.7533825338253383,0.7032146957520092,0.10550215803647583,0.13751746048342306
5,1213.0,413.0,652.0,2522.0,0.24227216811551278,0.778125,0.524907757118489,0.794580970384373,0.650402144772118,0.7460024600246002,0.6949298195359496,0.1029044706486092,0.13936769746690356
6,1209.0,417.0,624.0,2550.0,0.24153367703345302,0.783125,0.5328039645884609,0.8034026465028355,0.6595744680851063,0.7435424354243543,0.6990459670424979,0.09761156778973766,0.14392210924371535
7,1226.0,400.0,621.0,2553.0,0.2412052239170576,0.7872916666666666,0.5431271046792311,0.8043478260869565,0.6637791012452626,0.7539975399753998,0.7060178520011517,0.09465254341773804,0.14655268049931955
8,1240.0,386.0,631.0,2543.0,0.24185085053427885,0.788125,0.5471368458303573,0.8011972274732199,0.6627471940138963,0.7626076260762608,0.7091792965398913,0.09218986381768883,0.14966098671659003
9,1228.0,398.0,615.0,2559.0,0.24081212159829807,0.7889583333333333,0.5463848656729153,0.8062381852551985,0.6663049376017363,0.7552275522755227,0.7079850100893629,0.08355487672526041,0.15725724487303766
10,1245.0,381.0,661.0,2513.0,0.24216294110883674,0.7829166666666667,0.5391900496942782,0.79174543163201,0.6532004197271774,0.7656826568265682,0.7049830124575311,0.07730496722723092,0.16485797388160583
11,1234.0,392.0,742.0,2432.0,0.24408349914908592,0.76375,0.5050282110554404,0.7662255828607435,0.6244939271255061,0.7589175891758918,0.6851749028317601,0.07875376629691433,0.1653297328521716
12,1224.0,402.0,699.0,2475.0,0.24261925873066598,0.770625,0.5143478762906719,0.779773156899811,0.6365054602184087,0.7527675276752768,0.6897717666948436,0.07462722236788376,0.1679920363627822
13,1243.0,383.0,733.0,2441.0,0.2435658602482233,0.7675,0.5130781798836979,0.7690611216131065,0.6290485829959515,0.7644526445264452,0.6901721265963354,0.07250554530176836,0.17106031494645493
14,1219.0,407.0,800.0,2374.0,0.24418037544853438,0.7485416666666667,0.47710545336110244,0.7479521109010712,0.6037642397226349,0.7496924969249692,0.6688614540466392,0.07589437397253297,0.1682860014760014
15,1227.0,399.0,760.0,2414.0,0.24375672773802154,0.7585416666666667,0.4950260017373815,0.7605545053560177,0.6175138399597383,0.7546125461254612,0.6792139496263493,0.06890100721427733,0.1748557205237442
16,1256.0,370.0,801.0,2373.0,0.24541487697520975,0.7560416666666666,0.49740233881029045,0.7476370510396976,0.6105979581915411,0.7724477244772447,0.6820526744501765,0.06177871607554773,0.18363616089966203
17,1239.0,387.0,865.0,2309.0,0.2465042938242334,0.7391666666666666,0.46687789018654413,0.7274732199117833,0.5888783269961977,0.7619926199261993,0.664343163538874,0.06122680062624229,0.18527749319799108
18,1216.0,410.0,760.0,2414.0,0.24362873970308713,0.75625,0.4889282733989257,0.7605545053560177,0.6153846153846154,0.7478474784747847,0.6751804553026096,0.060652322615767154,0.18297641708732
19,1253.0,373.0,756.0,2418.0,0.24433513290825823,0.7647916666666666,0.5107943995741988,0.7618147448015122,0.6236933797909407,0.7706027060270603,0.6894085281980743,0.05524864656409226,0.18908648634416597
20,1223.0,403.0,901.0,2273.0,0.24649819227850317,0.7283333333333334,0.4462234163428038,0.7161310649023315,0.5758003766478342,0.7521525215252153,0.6522666666666667,0.05436825833921835,0.19212993393928482
21,1237.0,389.0,844.0,2330.0,0.2459304343053495,0.743125,0.4726051959388376,0.7340894770006301,0.5944257568476694,0.7607626076260763,0.6673860264364715,0.05291455029574389,0.19301588400960562
22,1227.0,399.0,856.0,2318.0,0.24600017963221008,0.7385416666666667,0.46306882347786843,0.7303087586641462,0.5890542486797887,0.7546125461254612,0.6616338635750876,0.050782715056373356,0.19521746457583672
23,1265.0,361.0,892.0,2282.0,0.24758944814300768,0.7389583333333334,0.4728269625759964,0.7189666036546944,0.5864626796476587,0.7779827798277983,0.6687813904308749,0.049196190947665704,0.19839325719534198
24,1247.0,379.0,776.0,2398.0,0.2443071847255096,0.759375,0.5007290794152173,0.7555135475740391,0.6164112703905091,0.7669126691266913,0.6834749246368869,0.04438631792966372,0.1999208667958459
25,1265.0,361.0,874.0,2300.0,0.24718993918350896,0.7427083333333333,0.4786037161781006,0.7246376811594203,0.5913978494623656,0.7779827798277983,0.6719787516600265,0.044540037259509405,0.20264990192399956
26,1248.0,378.0,904.0,2270.0,0.24746084380381994,0.7329166666666667,0.45938108305999065,0.7151858853182105,0.5799256505576208,0.7675276752767528,0.6606670195870831,0.04546914405302073,0.20199169975079923
27,1241.0,385.0,901.0,2273.0,0.24727985302214678,0.7320833333333333,0.45638629212128745,0.7161310649023315,0.5793650793650794,0.7632226322263223,0.6587048832271762,0.04558854205228929,0.20169131096985748
28,1254.0,372.0,900.0,2274.0,0.24772379834048627,0.735,0.46405185579218144,0.7164461247637051,0.5821727019498607,0.7712177121771218,0.6634920634920635,0.04469206587138888,0.2030317324690974
29,1270.0,356.0,899.0,2275.0,0.24781874593768285,0.7385416666666667,0.4734182499653062,0.7167611846250788,0.5855232826187183,0.7810578105781057,0.6693017127799736,0.04120231000631485,0.206616435931368
30,1275.0,351.0,875.0,2299.0,0.247478749006663,0.7445833333333334,0.4839210150772173,0.7243226212980466,0.5930232558139535,0.7841328413284133,0.6753177966101694,0.04043539491322225,0.20704335409344077
31,1253.0,373.0,902.0,2272.0,0.2476969236940423,0.734375,0.462847080841763,0.7158160050409578,0.5814385150812065,0.7706027060270603,0.662787622322137,0.04056387802245714,0.20713304567158516
32,1253.0,373.0,921.0,2253.0,0.24797721989600982,0.7304166666666667,0.45679258586040816,0.7098298676748582,0.5763569457221711,0.7706027060270603,0.6594736842105263,0.03857392353061054,0.20940329636539928
33,1251.0,375.0,876.0,2298.0,0.24678639088383378,0.739375,0.4700697158561152,0.724007561436673,0.5881523272214386,0.7693726937269373,0.6666666666666666,0.03877037889837611,0.20801601198545766
34,1253.0,373.0,871.0,2303.0,0.24709706163199086,0.7408333333333333,0.4728109742932981,0.7255828607435413,0.589924670433145,0.7706027060270603,0.6682666666666667,0.039809565022442435,0.20728749660954843
35,1252.0,374.0,907.0,2267.0,0.24781947985381347,0.733125,0.4606843641394998,0.7142407057340895,0.5798981009726726,0.7699876998769988,0.661558784676354,0.03832709453342048,0.209492385320393
36,1289.0,337.0,998.0,2176.0,0.24938292877362989,0.721875,0.4532593363633131,0.6855702583490864,0.5636204634892873,0.7927429274292743,0.6588295425504728,0.038584166372530246,0.21079876240109965
37,1263.0,363.0,973.0,2201.0,0.24886739329783558,0.7216666666666667,0.4461192932144403,0.6934467548834279,0.5648479427549195,0.7767527675276753,0.6540652511651994,0.037206772299692804,0.21166062099814278
38,1256.0,370.0,933.0,2241.0,0.24816333764013226,0.7285416666666666,0.4546911694598421,0.7060491493383743,0.5737779808131567,0.7724477244772447,0.6584534731323722,0.03670968553969334,0.21145365210043893
39,1256.0,370.0,911.0,2263.0,0.2478256956835044,0.733125,0.46167232402236097,0.7129804662885948,0.5796031379787725,0.7724477244772447,0.6622726074347483,0.03786681169281414,0.20995888399069026
40,1251.0,375.0,1010.0,2164.0,0.24915836760095664,0.7114583333333333,0.427774446908653,0.6817895400126024,0.5532950022114109,0.7693726937269373,0.6436840751222022,0.03719269761394988,0.21196566998700675
