epoch,TP,FN,FP,TN,Uncertainty,Accuracy,MCC,Specificity,Precision,Sensitivity,F1,ale_uncertainty,epi_uncertainty
1,12.0,90.0,43.0,56.0,0.2430207396376692,0.3383084577114428,-0.3551427911505227,0.5656565656565656,0.21818181818181817,0.11764705882352941,0.15286624203821655,0.24038868364261337,0.0026320559950558375
2,8.0,94.0,48.0,51.0,0.24321276470549086,0.2935323383084577,-0.4532227006275868,0.5151515151515151,0.14285714285714285,0.0784313725490196,0.10126582278481013,0.2396920052117376,0.003520759493753245
3,10.0,92.0,40.0,59.0,0.24363523227015835,0.34328358208955223,-0.3538892092904499,0.5959595959595959,0.2,0.09803921568627451,0.13157894736842105,0.24037715902462783,0.003258073245530513
4,10.0,92.0,51.0,48.0,0.24310017714534293,0.2885572139303483,-0.45356730783193605,0.48484848484848486,0.16393442622950818,0.09803921568627451,0.12269938650306748,0.23913123460897634,0.003968942536366593
