data,training_data_size,epoch,TP,FN,FP,TN,Uncertainty,Accuracy,MCC,Specificity,Precision,Sensitivity,F1,ale_uncertainty,epi_uncertainty
wrongly_classified,200,1,13.0,89.0,48.0,51.0,0.2230962796839505,0.31840796019900497,-0.38863352658249223,0.5151515151515151,0.21311475409836064,0.12745098039215685,0.15950920245398773,0.07559831071682138,0.14749796896712908
wrongly_classified,2000,1,15.0,87.0,33.0,66.0,0.19133008253010733,0.40298507462686567,-0.2184262241094244,0.6666666666666666,0.3125,0.14705882352941177,0.2,0.07311209223491047,0.11821799029519685
original_test,2000,1,922.0,703.0,891.0,2284.0,0.2360991715901622,0.6679166666666667,0.2798933434998798,0.7193700787401575,0.5085493656922229,0.5673846153846154,0.5363583478766725,0.06973164290758434,0.16636752868257784
original_test,200,1,865.0,760.0,1016.0,2159.0,0.090295315,0.63,0.20580353584260588,0.68,0.45986177565124936,0.5323076923076923,0.4934398174557901,0.06432027,0.025975041
japan,200,1,853.0,420.0,2375.0,6062.0,0.22696899826016226,0.712152420185376,0.2783934750239827,0.718501837145905,0.2642503097893433,0.6700706991358995,0.3790268829149078,0.07688806403906845,0.15008093422109378
japan,2000,1,853.0,420.0,2375.0,6062.0,0.22696899826016226,0.712152420185376,0.2783934750239827,0.718501837145905,0.2642503097893433,0.6700706991358995,0.3790268829149078,0.07688806403906845,0.15008093422109378
