epoch,TP,FN,FP,TN,Uncertainty,Accuracy,MCC,Specificity,Precision,Sensitivity,F1,ale_uncertainty,epi_uncertainty
1,20.0,82.0,66.0,33.0,0.24696152275611377,0.263681592039801,-0.47551103839528064,0.3333333333333333,0.23255813953488372,0.19607843137254902,0.2127659574468085,0.14653086772818116,0.10043065502793261
2,22.0,80.0,66.0,33.0,0.2465224370777306,0.2736318407960199,-0.45445908033634463,0.3333333333333333,0.25,0.21568627450980393,0.23157894736842105,0.12831842557655782,0.1182040115011728
3,19.0,83.0,54.0,45.0,0.2435618637718687,0.31840796019900497,-0.37339066620474043,0.45454545454545453,0.2602739726027397,0.18627450980392157,0.21714285714285714,0.1540397911121181,0.0895220726597506
4,21.0,81.0,61.0,38.0,0.24489028131421303,0.2935323383084577,-0.4173657848367007,0.3838383838383838,0.25609756097560976,0.20588235294117646,0.22826086956521738,0.1395474534441196,0.10534282787009344
5,27.0,75.0,59.0,40.0,0.2443225756408745,0.3333333333333333,-0.3347189443249608,0.40404040404040403,0.313953488372093,0.2647058823529412,0.2872340425531915,0.12333358037095166,0.12098899526992285
6,29.0,73.0,55.0,44.0,0.2439405888321352,0.36318407960199006,-0.2749424353391187,0.4444444444444444,0.34523809523809523,0.28431372549019607,0.3118279569892473,0.12795977122092306,0.11598081761121215
7,27.0,75.0,57.0,42.0,0.2443515574817411,0.34328358208955223,-0.3152954324206542,0.42424242424242425,0.32142857142857145,0.2647058823529412,0.2903225806451613,0.11748748029804844,0.12686407718369266
8,27.0,75.0,56.0,43.0,0.24453184444085657,0.3482587064676617,-0.3055856575402621,0.43434343434343436,0.3253012048192771,0.2647058823529412,0.2918918918918919,0.11333886168820033,0.13119298275265623
9,29.0,73.0,58.0,41.0,0.24484115533378847,0.3482587064676617,-0.30426889817035835,0.41414141414141414,0.3333333333333333,0.28431372549019607,0.30687830687830686,0.11345194420833508,0.1313892111254534
10,29.0,73.0,55.0,44.0,0.2439960666838935,0.36318407960199006,-0.2749424353391187,0.4444444444444444,0.34523809523809523,0.28431372549019607,0.3118279569892473,0.0885762022156666,0.1554198644682269
11,30.0,72.0,51.0,48.0,0.24276174764325642,0.3880597014925373,-0.2252907571688843,0.48484848484848486,0.37037037037037035,0.29411764705882354,0.32786885245901637,0.10877455988169586,0.13398718776156054
12,34.0,68.0,51.0,48.0,0.245252085987883,0.4079601990049751,-0.18399945481723784,0.48484848484848486,0.4,0.3333333333333333,0.36363636363636365,0.10444257902993681,0.1408095069579462
13,31.0,71.0,57.0,42.0,0.2450745726508938,0.36318407960199006,-0.273932844866769,0.42424242424242425,0.3522727272727273,0.30392156862745096,0.3263157894736842,0.0921507634096633,0.1529238092412305
14,35.0,67.0,43.0,56.0,0.2446361665720513,0.4527363184079602,-0.0935711764825797,0.5656565656565656,0.44871794871794873,0.3431372549019608,0.3888888888888889,0.10320202581740079,0.14143414075465052
15,34.0,68.0,57.0,42.0,0.24588612132050813,0.3781094527363184,-0.2434875117476818,0.42424242424242425,0.37362637362637363,0.3333333333333333,0.35233160621761656,0.09235691142118627,0.15352920989932187
16,32.0,70.0,55.0,44.0,0.24600871819912445,0.3781094527363184,-0.24401466316322332,0.4444444444444444,0.367816091954023,0.3137254901960784,0.3386243386243386,0.0786374927301005,0.16737122546902394
17,41.0,61.0,47.0,52.0,0.24556110195489536,0.4626865671641791,-0.07334813878946274,0.5252525252525253,0.4659090909090909,0.4019607843137255,0.43157894736842106,0.08547073794466978,0.16009036401022558
18,36.0,66.0,41.0,58.0,0.24245993678846237,0.46766169154228854,-0.06293823892345715,0.5858585858585859,0.4675324675324675,0.35294117647058826,0.4022346368715084,0.08355137649785227,0.1589085602906101
19,30.0,72.0,56.0,43.0,0.24562031238266135,0.36318407960199006,-0.2743794754376809,0.43434343434343436,0.3488372093023256,0.29411764705882354,0.3191489361702128,0.07210650916899762,0.17351380321366372
20,39.0,63.0,49.0,50.0,0.246114686821641,0.4427860696517413,-0.11346508000492399,0.5050505050505051,0.4431818181818182,0.38235294117647056,0.4105263157894737,0.07350072478302855,0.17261396203861246
21,44.0,58.0,46.0,53.0,0.24703518470059024,0.48258706467661694,-0.03345329113480673,0.5353535353535354,0.4888888888888889,0.43137254901960786,0.4583333333333333,0.066690469188674,0.18034471551191625
22,34.0,68.0,50.0,49.0,0.24441394090596275,0.4129353233830846,-0.17405994263528,0.494949494949495,0.40476190476190477,0.3333333333333333,0.3655913978494624,0.06401268471100587,0.18040125619495687
23,40.0,62.0,46.0,53.0,0.24687380418240695,0.4626865671641791,-0.0732479124800811,0.5353535353535354,0.46511627906976744,0.39215686274509803,0.425531914893617,0.06534979234747605,0.1815240118349309
24,33.0,69.0,56.0,43.0,0.2456870360141423,0.3781094527363184,-0.24370091827232288,0.43434343434343436,0.3707865168539326,0.3235294117647059,0.34554973821989526,0.05666732380068503,0.18901971221345726
25,44.0,58.0,44.0,55.0,0.24634779175554278,0.4925373134328358,-0.01317272696627086,0.5555555555555556,0.5,0.43137254901960786,0.4631578947368421,0.058169822776587506,0.18817796897895528
26,36.0,66.0,50.0,49.0,0.24651806866798104,0.4228855721393035,-0.153700537663121,0.494949494949495,0.4186046511627907,0.35294117647058826,0.3829787234042553,0.06037832547580828,0.18613974319217275
27,51.0,51.0,43.0,56.0,0.24881956153033732,0.5323383084577115,0.06578699201803781,0.5656565656565656,0.5425531914893617,0.5,0.5204081632653061,0.04958595357203271,0.1992336079583046
