epoch,TP,FN,FP,TN,Uncertainty,Accuracy,MCC,Specificity,Precision,Sensitivity,F1,ale_uncertainty,epi_uncertainty
1,725.0,548.0,1912.0,6525.0,0.2429983875116006,0.7466529351184346,0.26020689025197646,0.7733791632096717,0.2749336367083807,0.5695208169677927,0.37084398976982097,0.2387914599050636,0.004206927606537014
2,761.0,512.0,1799.0,6638.0,0.24329238891419355,0.7619979402677652,0.29458731118886694,0.7867725494844139,0.297265625,0.5978004713275726,0.39707800678319854,0.2387542592021439,0.004538129712049643
3,795.0,478.0,1803.0,6634.0,0.2433052906449509,0.7650875386199794,0.3132067570365336,0.7862984473153964,0.30600461893764436,0.624509033778476,0.4107465771118574,0.23865500214748867,0.0046502884974622405
4,857.0,416.0,1692.0,6745.0,0.24335412804909173,0.7829042224510814,0.3625704166266091,0.79945478250563,0.33621027854060415,0.6732128829536528,0.4484563055991627,0.2389860925344005,0.004368035514691226
5,800.0,473.0,1498.0,6939.0,0.2436343204393671,0.7970133882595263,0.35804019020370087,0.822448737702975,0.34812880765883375,0.6284367635506677,0.44805376645197426,0.23963235787111264,0.004001962568254469
6,890.0,383.0,1855.0,6582.0,0.24321042173993787,0.7695159629248197,0.3592176436295328,0.78013511911817,0.3242258652094718,0.6991358994501178,0.44300647088103534,0.23833809158698013,0.004872330152957738
